cig;numero_gara;importo_complessivo_gara;n_lotti_componenti;importo_lotto;settore;data_pubblicazione;tipo_scelta_contraente;modalita_realizzazione;denominazione_amministrazione_appaltante;sezione_regionale;descrizione_cpv;aggiudicatario;tipo_aggiudicatario
3077807EAB;3103324;963108.0;7.0;56700.0;SETTORI ORDINARI;2009-01-23;PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI GARA (SETTORI SPECIALI);CONTRATTO DAPPALTO;AZIENDA USL TERAMO;SEZIONE REGIONALE ABRUZZO;MATERIALE ORTOPEDICO;ARTRÒ SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
5269005878;353813;70833.34;1.0;70833.34;SETTORI ORDINARI;2009-01-30;PROCEDURA APERTA;CONTRATTO DAPPALTO;AGENZIA REGIONALE PER LO SVILUPPO E LINNOVAZIONE DELLAGRICOLTURA DEL LAZIO;SEZIONE REGIONALE LAZIO;SERVIZI DI SVILUPPO SPERIMENTALE;FONDAZIONE DIRITTI GENETICI;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
028101199A;367554;120055.51;1.0;120055.51;SETTORI ORDINARI;2009-01-26;PROCEDURA APERTA;CONTRATTO D'APPALTO;COMUNE DI LANCIANO;SEZIONE REGIONALE ABRUZZO;LAVORI DI COSTRUZIONE DI EDIFICI SCOLASTICI;EDIL CICCHINI SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
2949931810;2990523;90000.0;1.0;90000.0;SETTORI ORDINARI;2009-01-21;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO D'APPALTO;COMUNE DI VARALLO;SEZIONE REGIONALE PIEMONTE;SERVIZI DI PULIZIA STRADALE;BORANDI RAFFAELE;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
02635429BA;352883;93359.5;1.0;93359.5;SETTORI ORDINARI;2009-01-26;PROCEDURA APERTA;CONTRATTO D'APPALTO;COMUNE DI CARMIANO;SEZIONE REGIONALE PUGLIA;LAVORI DI SUPERFICIE PER PARCHI;GEOM. GUIDO MONTEFUSCO;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
02635429BA;352883;93359.5;1.0;93359.5;SETTORI ORDINARI;2009-01-26;PROCEDURA APERTA;CONTRATTO D'APPALTO;COMUNE DI CARMIANO;SEZIONE REGIONALE PUGLIA;LAVORI DI SUPERFICIE PER PARCHI;MELLO LUCIO;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
025896048C;346579;427881.469;1.0;427881.47;SETTORI ORDINARI;2009-01-09;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO D'APPALTO;COMUNE DI PALOMBARA SABINA;SEZIONE REGIONALE LAZIO;LAVORI DI STABILIZZAZIONE DEL TERRENO;CONSORZIO STABILE COSTELLAZIONE DI VENRE;"CONSORZIO (CONSORZI TRA SOCIETA'COOPERATIVE DI PRODUZIONE E LAVORO; CONSORZI TRA IMPRESE ARTIGIANE; CONSORZI STABILI)"
18973227A3;1966127;1000000.0;22.0;220000.0;SETTORI ORDINARI;2009-01-07;AFFIDAMENTO DIRETTO EX ART.5 DELLA LEGGE N.381/91;CONTRATTO D'APPALTO;AZIENDA UNITA  SANITARIA LOCALE N. 3;SEZIONE REGIONALE SARDEGNA;PROTESI ORTOPEDICHE;MILLENNIUM SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
384120891C;3832983;2500000.0;1.0;2500000.0;SETTORI ORDINARI;2009-01-01;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;CONTRATTO DAPPALTO DISCENDENTE DA ACCORDO QUADRO/CONVENZIONE SENZA SUCCESSIVO CONFRONTO COMPETITIVO;AZ. OSP.-UNIVERSITARIA S. MARIA DELLA MISERICORDIA DI UDINE;SEZIONE REGIONALE FRIULI VENEZIA GIULIA;PLASMADERIVATI;KEDRION;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
2479843F2A;2553782;249871.05;1.0;249871.05;SETTORI ORDINARI;2009-01-25;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;CONTRATTO D'APPALTO;ANAS SPA;SEZIONE REGIONALE CENTRALE;LAVORI DI RIPARAZIONE E RIPRISTINO;PERRI ALESSANDRO;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
2506577CC3;2578603;344700.0;1.0;344700.0;SETTORI ORDINARI;2009-01-08;AFFIDAMENTO DIRETTO;CONTRATTO D'APPALTO;COMUNE DI VELLETRI;SEZIONE REGIONALE LAZIO;SERVIZI CONNESSI ALLE INFRASTRUTTURE COLLETTIVE;COV  CONSORZIO ORTOFRUTTICOLO VELITERNO;"CONSORZIO (CONSORZI TRA SOCIETACOOPERATIVE DI PRODUZIONE E LAVORO; CONSORZI TRA IMPRESE ARTIGIANE; CONSORZI STABILI)"
2941892E10;2982832;375364.0;1.0;375364.0;SETTORI SPECIALI;2009-01-23;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;ACCORDO QUADRO/CONVENZIONE;ACQUA CAMPANIA S.P.A.;SEZIONE REGIONALE CAMPANIA;LAVORI DI COSTRUZIONE DI CONDOTTE IDRICHE E FOGNARIE;SIBA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
3561748F6A;3564516;9280000.0;1.0;9280000.0;SETTORI SPECIALI;2009-01-22;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;CONTRATTO D'APPALTO DISCENDENTE DA ACCORDO QUADRO/CONVENZIONE SENZA SUCCESSIVO CONFRONTO COMPETITIVO;SISTEMI TERRITORIALI SPA;SEZIONE REGIONALE VENETO;MATERIALE FERROVIARIO ROTABILE;STADLER BUSSNANG AG;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
3561748F6A;3564516;9280000.0;1.0;9280000.0;SETTORI SPECIALI;2009-01-22;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;CONTRATTO D'APPALTO DISCENDENTE DA ACCORDO QUADRO/CONVENZIONE SENZA SUCCESSIVO CONFRONTO COMPETITIVO;SISTEMI TERRITORIALI SPA;SEZIONE REGIONALE VENETO;MATERIALE FERROVIARIO ROTABILE;ANSALDOBREDA SPA;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
3792586CF6;389355;27000.0;1.0;27000.0;SETTORI ORDINARI;2009-01-15;AFFIDAMENTO DIRETTO;CONTRATTO DAPPALTO;PORTO CONTE RICERCHE SOCIETA  A RESPONSABILITA  LIMITATA PUO  FAR USO DELLA DENOMINAZIONE ABBREVIATA PCR S.R.L.;SEZIONE REGIONALE SARDEGNA;RICERCA, SPERIMENTAZIONE E SIMULATORI TECNICO-SCIENTIFICI;AGILENT TECHNOLOGIES ITALIA S.P.A.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
3072344279;3103324;963108.0;7.0;58500.0;SETTORI ORDINARI;2009-01-23;PROCEDURA NEGOZIATA DERIVANTE DA AVVISI CON CUI SI INDICE UNA GARA;CONTRATTO DAPPALTO;AZIENDA USL TERAMO;SEZIONE REGIONALE ABRUZZO;MATERIALI MEDICI;ZIMMER SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
0256827457;343517;195833.33;1.0;195833.33;SETTORI ORDINARI;2009-01-13;PROCEDURA APERTA;CONTRATTO D'APPALTO;COMUNE DI FAGGIANO;SEZIONE REGIONALE PUGLIA;RIPARAZIONE E MANUTENZIONE DI IMPIANTI SPORTIVI;ARGENTO PIERPAOLO S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
50036842A9;4911200;1449380.4;1.0;1449380.4;SETTORI SPECIALI;2009-01-26;AFFIDAMENTO DIRETTO;CONTRATTO DAPPALTO;E-DISTRIBUZIONE SPA;SEZIONE REGIONALE CENTRALE;SERVIZI DI INTERCONNESSIONE;TERNA RETE ITALIA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
18972078BC;1966127;1000000.0;22.0;250000.0;SETTORI ORDINARI;2009-01-07;AFFIDAMENTO DIRETTO EX ART.5 DELLA LEGGE N.381/91;CONTRATTO DAPPALTO;AZIENDA UNITA  SANITARIA LOCALE N. 3;SEZIONE REGIONALE SARDEGNA;PROTESI ORTOPEDICHE;JOHNSON & JOHNSON MEDICAL SPA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
336553602B;355146;138482.78;1.0;138482.78;SETTORI ORDINARI;2009-01-07;PROCEDURA APERTA;CONTRATTO D'APPALTO;COMUNE DI CASTELVETRANO;SEZIONE REGIONALE SICILIA;LAVORI DI MANUTENZIONE STRADALE;ECOLOGICA JUVENES SOC. COOP.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
026076888D;349050;92000.0;1.0;92000.0;SETTORI ORDINARI;2009-01-14;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO D'APPALTO;COMUNE DI CARPINETO SINELLO;SEZIONE REGIONALE ABRUZZO;IMPIANTI PER IL TEMPO LIBERO;FOSSACECA SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
7584096202;7163651;240000.0;1.0;240000.0;SETTORI ORDINARI;2009-01-26;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;CONTRATTO DI CONCESSIONE DI SERVIZI E/O FORNITURE;COMUNE DI POLISTENA;SEZIONE REGIONALE CALABRIA;ACQUA POTABILE;SO.RI.CAL. SPA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
30778355C9;3103324;963108.0;7.0;48600.0;SETTORI ORDINARI;2009-01-23;PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI GARA (SETTORI SPECIALI);CONTRATTO DAPPALTO;AZIENDA USL TERAMO;SEZIONE REGIONALE ABRUZZO;MATERIALE ORTOPEDICO;ARTRÒ SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
026079707E;349101;62942.84;1.0;62942.84;SETTORI ORDINARI;2009-01-20;PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI GARA (SETTORI SPECIALI);CONTRATTO D'APPALTO;ADIGE SERVIZI S.R.L.;SEZIONE REGIONALE VENETO;LAVORI DI COSTRUZIONE DI COMPLESSI DI UFFICI;POLATO GIANMARIA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
459072521D;4529360;100000.0;1.0;100000.0;SETTORI ORDINARI;2009-01-20;PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI GARA (SETTORI SPECIALI);CONTRATTO DAPPALTO;AZIENDA SANITARIA LOCALE BARI;SEZIONE REGIONALE PUGLIA;VARI SERVIZI DI INGEGNERIA;TINELLI DAMIANO;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
45042955D1;4448993;239089.85;1.0;239089.85;SETTORI ORDINARI;2009-01-28;PROCEDURA APERTA;CONTRATTO D'APPALTO;AMMINISTRAZIONE PROVINCIALE DI CROTONE;SEZIONE REGIONALE CALABRIA;LAVORI STRADALI;CLARA' COSTRUZIONI SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
0263004DC0;352223;15507672.0;1.0;15507672.0;SETTORI ORDINARI;2009-01-21;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;ACCORDO QUADRO/CONVENZIONE;AZIENDA UNITA  LOCALE SOCIO-SANITARIA N. 8 BERICA;SEZIONE REGIONALE VENETO;ANTINFETTIVI GENERALI PER USO SISTEMICO, VACCINI, AGENTI ANTINEOPLASTICI E IMMUNOMODULATORI;SANOFI PASTEUR MSD SPA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
3713590768;3712357;1082785.25;1.0;1082785.25;SETTORI ORDINARI;2009-01-30;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;ACQUISIZIONE IN ECONOMIA;CONSORZIO DEI COMUNI B.I.M. VOMANO-TORDINO;SEZIONE REGIONALE ABRUZZO;SERVIZI BANCARI DI INVESTIMENTO E SERVIZI AFFINI;BANCA TERCAS SPA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
194743308D;2017419;58000.0;1.0;58000.0;SETTORI ORDINARI;2009-01-09;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;CONTRATTO D'APPALTO DISCENDENTE DA ACCORDO QUADRO/CONVENZIONE SENZA SUCCESSIVO CONFRONTO COMPETITIVO;MINISTERO GRAZIA E GIUSTIZIA-DIPART.TO AMMIN. PENITENZIARIA;SEZIONE REGIONALE CENTRALE;SERVIZI DI TELEFONIA MOBILI;TELECOM ITALIA S.P.A.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
02770271E9;365402;48856.87;1.0;48856.87;SETTORI ORDINARI;2009-01-13;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;CONTRATTO D'APPALTO;SOPRINTENDENZA SPECIALE PER IL P. S. A. E. E PER IL POLO MUSEALE CITT? DI FIRENZE;SEZIONE REGIONALE TOSCANA;LAVORI DI INSTALLAZIONE DI SISTEMI DI ILLUMINAZIONE E DI SEGNALAZIONE;TOSCANA MONTAGGIO DI SIMONCINI MARCO & C. SNC;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
025960372A;347506;62451.21;1.0;62451.21;SETTORI ORDINARI;2009-01-15;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;CONTRATTO D'APPALTO;AMMINISTRAZIONE COMUNALE DI LUCITO;SEZIONE REGIONALE MOLISE;POSA DI PAVIMENTI;PETRILLO DOMENICO;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
0789694C17;832616;76890.297;1.0;76890.3;SETTORI ORDINARI;2009-01-14;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO DAPPALTO;COMUNE DI TRENTO;SEZIONE REGIONALE PROVINCIA AUTONOMA DI TRENTO;SERVIZI DI TESORERIA;UNICREDIT BANCA S.P.A.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
0258081F29;345399;333028.85;1.0;333028.85;SETTORI ORDINARI;2009-01-21;PROCEDURA APERTA;CONTRATTO DAPPALTO;COMUNE DI FOLIGNO;SEZIONE REGIONALE UMBRIA;SERVIZI DI RIABILITAZIONE;COMUNITÀ LA TENDA COOPERATIVA SOCIALE;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
0258081F29;345399;333028.85;1.0;333028.85;SETTORI ORDINARI;2009-01-21;PROCEDURA APERTA;CONTRATTO DAPPALTO;COMUNE DI FOLIGNO;SEZIONE REGIONALE UMBRIA;SERVIZI DI RIABILITAZIONE;LA LOCOMOTIVA SOCIETÀ COOPERATIVA SOCIALE;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
2447686661;2523117;141428.7;1.0;141428.7;SETTORI ORDINARI;2009-01-13;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO D'APPALTO;ISTITUTO TRENTINO EDILIZIA ABITATIVA;SEZIONE REGIONALE PROVINCIA AUTONOMA DI TRENTO;ALTRI SERVIZI;INIZIATIVE E SVILUPPO SOC. COOP.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
25492679AB;2618238;60000.0;1.0;60000.0;SETTORI ORDINARI;2009-01-14;PROCEDURA APERTA;CONTRATTO D'APPALTO;ARNAS CIVICO - DI CRISTINA - BENFRATELLI;SEZIONE REGIONALE SICILIA;SISTEMI DIAGNOSTICI;BIO-RAD LABORATORIES ;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
02164636E9;291414;156800.0;1.0;156800.0;SETTORI ORDINARI;2009-01-13;PROCEDURA RISTRETTA;CONTRATTO D'APPALTO;COMUNE DI RAGOGNA;SEZIONE REGIONALE FRIULI VENEZIA GIULIA;LAVORI DI RESTAURO;ROSSI E C. DI ROSSI RENATO E C. S.N.C.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
0261372AFC;350136;48000.0;1.0;48000.0;SETTORI ORDINARI;2009-01-16;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;CONTRATTO D'APPALTO;AZIENDA ULSS 12 VENEZIANA;SEZIONE REGIONALE VENETO;APPARECCHI CARDIOVASCOLARI;IATROTEK;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
3137560C68;3164005;30000.0;1.0;30000.0;SETTORI SPECIALI;2009-01-02;PROCEDURA SELETTIVA EX ART. 238 C.7, D.LGS. 163/2006;CONTRATTO DAPPALTO;ADR ASSISTANCE SRL;SEZIONE REGIONALE CENTRALE;AUTOVETTURE PER TRASPORTO PASSEGGERI;MAGGIORE FLEET SPA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
1130339140;1183453;69918.81;1.0;69918.81;SETTORI ORDINARI;2009-01-22;AFFIDAMENTO DIRETTO;CONTRATTO D'APPALTO;COMUNE DI PALOMBARA SABINA;SEZIONE REGIONALE LAZIO;LAVORI DI COSTRUZIONE DI CHIESE;PICALARGA S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
32547310FD;3274771;108267.5;1.0;108267.5;SETTORI ORDINARI;2009-01-21;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;CONTRATTO DI CONCESSIONE DI LAVORI;COMUNE DI FIESSO UMBERTIANO;SEZIONE REGIONALE VENETO;LAVORI DI LASTRICATURA E ASFALTATURA;ASFALTI BUSCO 1 SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
5582548059;5435753;270482.85;1.0;270482.85;SETTORI ORDINARI;2009-01-01;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO D'APPALTO;ASL TARANTO;SEZIONE REGIONALE PUGLIA;SOSTEGNO FUNZIONALE;ORTHOFIX SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
1896260B3E;1966127;1000000.0;22.0;40000.0;SETTORI ORDINARI;2009-01-07;AFFIDAMENTO DIRETTO EX ART.5 DELLA LEGGE N.381/91;CONTRATTO D'APPALTO;AZIENDA UNITA  SANITARIA LOCALE N. 3;SEZIONE REGIONALE SARDEGNA;PROTESI ORTOPEDICHE;NUOVA SARDA MEDICALI SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
268558787E;2744625;3212081.36;1.0;3212081.36;SETTORI ORDINARI;2009-01-01;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO D'APPALTO;COMUNE DI GENOVA;SEZIONE REGIONALE LIGURIA;SERVIZI DI CONCESSIONE DI CREDITO;UNICREDIT BANCA SPA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
24803712E6;2554442;242443.96;1.0;242443.96;SETTORI ORDINARI;2009-01-31;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;CONTRATTO D'APPALTO;ANAS SPA;SEZIONE REGIONALE CENTRALE;LAVORI DI RIPARAZIONE E RIPRISTINO;IAQUINTA SAVERIO;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
26961250BC;2754085;178992.0;14.0;24480.0;SETTORI ORDINARI;2009-01-20;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;ACQUISIZIONE IN ECONOMIA;AZIENDA OSPEDALIERA UMBERTO I;SEZIONE REGIONALE SICILIA;REATTIVI PER LABORATORIO;FIRMA S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
025471771C;340406;3810000.0;1.0;3810000.0;SETTORI ORDINARI;2009-01-07;PROCEDURA APERTA;ACCORDO QUADRO/CONVENZIONE;ENTE PER I SERVIZI TECNICO AMMINISTRATIVI DI AREA VASTA CENTRO;SEZIONE REGIONALE TOSCANA;APPARECCHI PER RADIODIAGNOSTICA;SIEMENS SPA;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
025471771C;340406;3810000.0;1.0;3810000.0;SETTORI ORDINARI;2009-01-07;PROCEDURA APERTA;ACCORDO QUADRO/CONVENZIONE;ENTE PER I SERVIZI TECNICO AMMINISTRATIVI DI AREA VASTA CENTRO;SEZIONE REGIONALE TOSCANA;APPARECCHI PER RADIODIAGNOSTICA;IMPIANTI INDUSTRIALI SRL;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
025471771C;340406;3810000.0;1.0;3810000.0;SETTORI ORDINARI;2009-01-07;PROCEDURA APERTA;ACCORDO QUADRO/CONVENZIONE;ENTE PER I SERVIZI TECNICO AMMINISTRATIVI DI AREA VASTA CENTRO;SEZIONE REGIONALE TOSCANA;APPARECCHI PER RADIODIAGNOSTICA;MAZZANTI SPA;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
2869493C85;2914598;135000.0;1.0;135000.0;SETTORI ORDINARI;2009-01-21;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;ACQUISIZIONE IN ECONOMIA;CONSORZIO DELLA BONIFICA PARMENSE;SEZIONE REGIONALE EMILIA ROMAGNA;BUONI PASTO;DAY RISTOSERVICE SPA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
012568782F;182169;106500.0;1.0;106500.0;SETTORI ORDINARI;2009-01-23;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;CONTRATTO D'APPALTO;COMUNE DI CEREGNANO;SEZIONE REGIONALE VENETO;LAVORI DI COSTRUZIONE DI EDIFICI PER SERVIZI SOCIALI E SANITARI, CREMATORI E GABINETTI PUBBLICI;TRACCO GEOM PIETRO;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
022792272D;302735;74000.0;1.0;74000.0;SETTORI SPECIALI;2009-01-11;PROCEDURA NEGOZIATA DERIVANTE DA AVVISI CON CUI SI INDICE UNA GARA;ACQUISIZIONE IN ECONOMIA;ACEA DISTRIBUZIONE SPA;SEZIONE REGIONALE CENTRALE;SERVIZI DI STAMPA DIGITALE;FAT SERVICE S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
0763073BBF;805211;89965.53;1.0;89965.53;SETTORI ORDINARI;2009-01-26;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;CONTRATTO DAPPALTO DISCENDENTE DA ACCORDO QUADRO/CONVENZIONE SENZA SUCCESSIVO CONFRONTO COMPETITIVO;AGENZIA DELLA MOBILITA  PIEMONTESE;SEZIONE REGIONALE PIEMONTE;SERVIZI DI MENSA;ACCOR-SERVICE ITALIA SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
0243923B9D;324025;2381060.0;14.0;564500.0;SETTORI ORDINARI;2009-01-23;PROCEDURA RISTRETTA;CONTRATTO DAPPALTO;AZIENDA OSPEDALIERA SANTA CROCE E CARLE;SEZIONE REGIONALE PIEMONTE;SUTURE CHIRURGICHE;SANITEX;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
